time,terrain,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5,torque_6,torque_7,torque_8,torque_9,torque_10,torque_11,accel_x,accel_y,accel_z,height,contact_0,contact_1,contact_2,contact_3,roll,pitch,yaw
100.02199999994829,sand,-0.9818544633964914,12.968708125854427,1.863090917616459,-1.1884032491641665,0.20825389271389483,-4.648165201900902,-0.2211225084166074,-3.457289568484468,-3.7237596243397633,3.723535955604755,11.511664267729794,-0.7546670581165511,0.5442762737015046,-0.4640871668638018,-5.402673338459157,0.30175705304199035,22.079553509433975,24.364573594265423,18.017415345307157,0.0,-0.1526572053725875,-0.0486660144816646,-0.18407725009347128
100.04199999994825,sand,-0.5885910865352535,12.23495142402874,2.0238476954654523,-0.9176632042427019,-0.5310447327982054,-4.035691841750358,-0.657281326486125,-4.9939743951104,-2.6927367653417082,3.5577671857504294,11.185306476166328,-0.17195856498702966,0.10217041317928567,-0.46472760834020693,-4.816499199185567,0.2979013994708344,21.96100746749336,32.814874098959535,19.26245784599323,0.0,-0.16055605401214218,-0.06110028887825908,-0.17930806900517293
100.0619999999482,sand,0.027575357988187665,13.043235494480005,3.2110844705729935,-0.8957319809807867,-0.9078746553997716,-3.498632249023032,-1.1060615226380328,-7.4689064217016226,-1.1794979909824956,3.7731592553238666,11.95806273669652,1.3548283217269645,-0.30975498050893235,-0.5315743287751514,-2.900287025131718,0.2921990512021009,27.04122875557254,49.255918011528074,27.52310716945712,0.0,-0.1675677028126954,-0.07412014377820389,-0.17196529606042
100.08199999994815,sand,0.842725301977141,15.218066928049025,5.409633920825096,-1.0153287322208164,-1.124306992089882,-2.9848645277689236,-1.629729442151976,-10.437425351653294,0.9400974129541844,3.954289581657877,12.993263045640578,3.8286625184551255,-0.7111329412204157,-0.5385539511459045,0.26509285860795223,0.2854900591535376,38.01052257032726,70.98351028801689,41.91804879766571,0.0,-0.17336316143480035,-0.08377118446061192,-0.16205209095688658
100.1019999999481,sand,2.0044594419932964,17.842281347176005,8.020845315363031,-1.261867502543858,-1.494661992357183,-2.5925449697232414,-2.0598722729112473,-11.856651554236517,2.6473141059749086,4.073122723266808,14.271671645722577,5.482543228466351,-0.23357731180663605,-0.9502562248761991,1.8265806865217509,0.2789128586042092,51.081646057358775,77.61071259850634,44.433085412500425,0.0,-0.17748126310782975,-0.08781041084209544,-0.15038705406237202
100.12199999994806,sand,2.8952400424721274,19.207659631757704,9.59154642520586,-1.4046795347629002,-1.8745334251787842,-2.2120061569676626,-2.5137008328709203,-12.622069873923683,3.4254596311228305,4.026859336188109,14.742479722776626,6.46474892537694,0.008128286287818972,-1.0752226850295783,2.1653547777629,0.27304423356591956,57.279306338195376,76.52370770329617,45.29870091371823,0.0,-0.1797545172759266,-0.08980313407926781,-0.13809860046402836
100.14199999994801,sand,3.247350876009281,19.50052550906186,10.151307688727233,-1.425122533103062,-2.160474827655799,-1.7995771398804603,-2.8737273533487957,-13.167702923102775,4.253301857489764,3.990515611396349,14.830900077245527,7.56563291882347,0.1459699474077993,-0.8881840143406088,2.2804761838541876,0.26802278487415554,57.44322706835356,74.89371492850506,48.94515158226278,0.0,-0.18030036739871166,-0.09235066105140359,-0.12595823490167915
100.16199999994797,sand,3.3283541137172032,19.31012014376756,10.39892354394641,-1.4299311840860887,-2.3975173571452286,-1.3997902251037226,-3.121979532233418,-12.995864136323327,5.016360425066441,3.986424236403867,14.83596913079575,8.691465230356041,0.2965771749145536,-0.6138896095304789,2.234494897881759,0.26389466362810277,56.3082866244607,71.56326565694944,52.88205317402916,0.0,-0.1793059466980988,-0.09578294857376651,-0.11429998799182933
100.18199999994792,sand,3.263946268781449,18.849572683224267,10.484758706290283,-1.4320741756930262,-2.598770517121796,-1.020045490484546,-3.248222895579948,-12.532702715324653,5.689237697310534,3.9806192551289,14.714394997261135,9.744413885693948,0.4227792119946688,-0.30863384639672076,2.0668405619265298,0.2606398898611976,54.44292425311731,67.57457042292457,56.546828255229,0.0,-0.1771478598795787,-0.10022126919362072,-0.10335592042274291
100.20199999994787,sand,3.127068896522779,18.268601113842,10.490467709486268,-1.4316838610649603,-2.7585165101909412,-0.6574168420029256,-3.28506261888496,-12.002161990855496,6.332990465872483,3.9702768410623888,14.516437163145644,10.697672822800346,0.49983185041220196,-0.0278604020441067,1.868038029411697,0.25819272301304197,52.252426046847205,63.990048148820385,59.70224241866945,0.0,-0.17429776337942407,-0.10570820815184098,-0.09332201179544061
